name,job,phone,email,country, salary 
,,,,,
ÃäÇåíÏ ÇáãÔÇæáÉ,ãÏíÑ ÇáÌãÚíÇÊ ÇáÎíÑíÉ / ÇáãäÙãÇÊ ÇáÊØæÚíÉ,782.295.2720x585,fal-tf@gmail.com,Turkmenistan," 9,348,271.00 Ï.Ú.ş "
ÇáãåäÏÓ áİíİ Âá ÓÚæÏ,ããÑÖÉ ááÃØİÇá,740-285-5450x739,lmgwlb@yahoo.com,Samoa," 3,310,031.00 Ï.Ú.ş "
ÇáÏßÊæÑÉ ÚÇáíÉ Âá ÓáØÇä,"ãÓÄæá ÇáÍİÙ ¡ ÇáãÈÇäí ÇáÊÇÑíÎíÉ",(745)308-3153,thsyn68@gmail.com,Vanuatu," 4,703,392.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ äæÑí ÍäÈæáí,ãåäÏÓ ÅäÔÇÆí,768.240.6211,pal-swd@yahoo.com,Dominica," 12,350,635.00 Ï.Ú.ş "
ÇáÓíÏÉ Ñíã ÇáÏÈÇÛ,Town planner,(297)506-4886,al-swdrymn@gmail.com,Tanzania," 13,080,083.00 Ï.Ú.ş "
ÇáÂäÓÉ ÌáäÇÑ Èä áÇÏä,Agricultural consultant,550-692-3803x12357,nllyn@gmail.com,Libyan Arab Jamahiriya," 9,975,578.00 Ï.Ú.ş "
ÇáÂäÓÉ ÈÇÓãÉ Âá Úáí,Equality and diversity officer,(962)893-3450,lqylndr@gmail.com,North Macedonia," 6,022,275.00 Ï.Ú.ş "
ÇáÓíÏ ãÚÇÑİ Èä áÇÏä,"Runner, broadcasting/film/video",+1-735-491-7127x107,wlmhn@hotmail.com,Saint Lucia," 12,838,943.00 Ï.Ú.ş "
áæáíÇ Âá ÌÚİÑ,Hydrologist,341.321.3966,smwh42@hotmail.com,British Virgin Islands," 8,843,670.00 Ï.Ú.ş "
ÍÇÑË Âá Úáí,Systems developer,700.404.3667x931,zhyr51@yahoo.com,Chad," 2,840,120.00 Ï.Ú.ş "
äãÑ ÇáÌÇÈÑ,"Accountant, chartered management",555-968-6975,lkhrfytly@yahoo.com,United Arab Emirates," 11,664,052.00 Ï.Ú.ş "
İÏÇÆí Âá Èä ÙÇİÑ,"Journalist, magazine",942.392.9374x03909,rgbbqshn@hotmail.com,French Southern Territories," 9,115,363.00 Ï.Ú.ş "
ÇáÃÓÊÇĞ ØáÇá ÍÌÇÑ,Acupuncturist,5938018029,fkhrbw-dwwd@hotmail.com,Lithuania," 420,757.00 Ï.Ú.ş "
íÓÑì Âá ŞÕíÑ,Merchant navy officer,001-678-847-5819,al-jfrjml-ldwyn@yahoo.com,Albania," 780,079.00 Ï.Ú.ş "
ÑæİíÏÇ İÕíá,Armed forces technical officer,+1-322-958-5357x594,lrshdslm@hotmail.com,Kazakhstan," 3,158,177.00 Ï.Ú.ş "
ÇáÓíÏ ÚÇÏá Èä áÇÏä,Chartered management accountant,(413)242-2055x8127,zydn87@yahoo.com,Sao Tome and Principe," 11,856,754.00 Ï.Ú.ş "
ÑÎÇÁ ÇáÏÈÇÛ,Theme park manager,966-646-1055,zglwl00@hotmail.com,Malaysia," 3,569,950.00 Ï.Ú.ş "
ÇáÓíÏ ÒåíÑ ÍÌÇÑ,Advertising account planner,865-529-7507,nzyh45@gmail.com,Nepal," 9,568,793.00 Ï.Ú.ş "
ÖÍì ÇáÍÌÇÑ,Marketing executive,257-886-6168,mnsy53@hotmail.com,Liberia," 4,690,759.00 Ï.Ú.ş "
ÇáÓíÏ ÒÇßí ÇáÎÑÇİí,Secondary school teacher,221.747.8599x4477,al-qsyrjswr@yahoo.com,Saint Kitts and Nevis," 1,952,764.00 Ï.Ú.ş "
íÓÑì Âá Èä áÇİí,Training and development officer,+1-991-380-8714x7186,tydal-lskry@gmail.com,Northern Mariana Islands," 4,595,953.00 Ï.Ú.ş "
ßÇÔİ Âá ãŞØÉ,"Psychologist, clinical",+1-306-814-3587x273,hmdn50@gmail.com,United States Minor Outlying Islands," 9,626,831.00 Ï.Ú.ş "
ÇáÂäÓÉ ÒßíÉ Âá Èä áÇİí,"Therapist, occupational",880-357-7086,myswn76@hotmail.com,Suriname," 9,983,279.00 Ï.Ú.ş "
ãíáÇÁ Âá ÓÚæÏ,Research scientist (life sciences),+1-415-975-9064x92650,xal-bn-zfr@yahoo.com,Japan," 1,139,815.00 Ï.Ú.ş "
ÇáÓíÏÉ ÃÌæÇä ÇáãÛÇæáÉ,Solicitor,001-313-246-9809x24225,zal-ly@yahoo.com,Cayman Islands," 12,387,001.00 Ï.Ú.ş "
ÑíÊÇá ÇáÚÌáÇä,Forest/woodland manager,379.733.3972x466,lkhrfyrwhy@hotmail.com,Australia," 8,730,055.00 Ï.Ú.ş "
